title,characters,url,Production code,Season №,Episode №,Airdate,U.S. premiere time (ET),Copyright year,U.S. viewers (millions),Running time,Sister episode(s),Writer(s),Storyboard Artist(s),Storyboard,Animation,Creative,Next,Previous,Guest(s),Supervising,Line Producer,Main,Supervising Producer(s),Technical,Animation Supervisor
The Paper,"['Squidward Tentacles', 'SpongeBob SquarePants', 'Mr. Paper', 'Gary the Snail', 'Sea urchins', ""Lil' Squidward"", 'Incidentals', 'Fred', 'Incidental 2', 'John', 'Incidental 7', 'Incidental 14', 'Incidental 30', 'Incidental 31', 'Incidental 33', 'Tuck Tucker', 'Scooter', 'Incidental 41', 'Incidental 42', 'Judy', 'Incidental 49', 'Incidental 60', 'Old Man Walker', 'Incidental 85', 'Patrick Star']",https://spongebob.fandom.com/wiki/The_Paper,2515-134,1,16b,"February 14, 2000",8:45 pm,2000,2.75,11 minutes,"""Valentine's Day""","['Chuck Klein', 'Jay Lender', 'Doug Lawrence']",Jay Lender,Chuck Klein,Fred Miller,Derek Drymon,"""Arrgh!""","""Valentine's Day""",,,,,,,
Arrgh!,"['Sea urchins', 'Eugene H. Krabs', 'SpongeBob SquarePants', 'Patrick Star', 'Flying Dutchman', 'Incidentals', 'Fred', 'Jellyfish', 'Merriwether Williams', 'Merriwether Williams', 'Carolyn Lawrence', 'Jill Talley', 'Lori Alan']",https://spongebob.fandom.com/wiki/Arrgh!,2515-130,1,17a,"March 15, 2000",8:00 pm,2000,3.08,"10 minutes, 42 seconds","""Rock Bottom""","['Sherm Cohen', 'Vincent Waller', 'Merriwether Williams']",Vincent Waller,Sherm Cohen,Sean Dempsey,Derek Drymon,"""Rock Bottom""","""The Paper""",Brian Doyle-Murray as Flying Dutchman,,,,,,
Rock Bottom,"['SpongeBob SquarePants', 'Patrick Star', 'Incidentals', 'Incidental 34', 'Bus driver', 'Incidental 64', 'Incidental 200', 'Incidental 201', 'Incidental 202', 'Incidental 204', 'Incidental 205', 'Incidental 206', 'Bert', 'Jojo', 'Incidental 214', 'Incidental 220', 'Incidental 221', 'Incidental 222', 'Soil', 'Three baby fish', 'Sea urchins', 'Grandpa SquarePants', 'Gary the Snail']",https://spongebob.fandom.com/wiki/Rock_Bottom,2515-138,1,17b,"March 15, 2000",8:15 pm,2000,3.08,11 minutes,"""Arrgh!""","['Paul Tibbitt', 'Ennio Torresan', 'David Fain']","['Paul Tibbitt (uncredited)', 'Ennio Torresan (uncredited)']","['Paul Tibbitt', 'Ennio Torresan']",Tom Yasumi,Derek Drymon,"""Texas""","""Arrgh!""",,,,,,,
Texas,"['SpongeBob SquarePants', 'Patrick Star', 'Sandy Cheeks', 'Jellyfish', 'Scallops and clams', 'Eugene H. Krabs', 'Squidward Tentacles', 'Mrs. Puff', 'Farley the Flatfish', 'Pearl Krabs', 'Larry the Lobster', 'Incidentals', 'John', 'Incidental 11', 'Priscilla', 'Incidental 16', 'Incidental 18', 'Carol', 'Incidental 23', 'Incidental 30', 'Incidental 31', 'Don the Whale', 'Scooter', 'Incidental 42']",https://spongebob.fandom.com/wiki/Texas,2515-139,1,18a,"March 22, 2000",8:00 pm,2000,3.10,11 minutes,"""Walking Small""","['Sherm Cohen', 'Vincent Waller', 'David Fain']",Vincent Waller,Sherm Cohen,Sean Dempsey,Derek Drymon,"""Walking Small""","""Rock Bottom""",Junior Brown as musical performer of Texas,,,,,,
Walking Small,"['Sheldon J. Plankton', 'SpongeBob SquarePants', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'John', 'Tom', 'Incidental 8', 'Incidental 10', 'Priscilla', 'Incidental 14', 'Incidental 16', 'Incidental 17', 'Incidental 18', 'Carol', 'Incidental 23', 'Incidental 30', 'Incidental 31', 'Don the Whale', 'Incidental 35', 'Harold', 'Tuck Tucker', 'Scooter', 'Scooter', 'Incidental 39', 'Harold', 'Incidental 41', 'Incidental 42', 'Judy', 'Incidental 46', 'Sadie', 'Incidental 48', 'Incidental 49', 'Incidental 60', 'Incidental 61', 'Incidental 62', 'Incidental 63', 'Incidental 64', 'Billy', 'Incidental 67', 'Incidental 68', 'Incidental 69', 'Incidental 70', 'Incidental 71', 'Harris', 'Incidental 85', 'Incidental 92', 'Incidental 96', 'Incidental 97', 'Incidental 98', 'Incidental 100', 'Incidental 103', 'Incidental 106', 'Steve', 'Frank', 'Eel', 'Octopus vendor', 'Larry the Lobster', 'Little girl', 'Goo Lagoon']",https://spongebob.fandom.com/wiki/Walking_Small,2515-133,1,18b,"March 22, 2000",8:15 pm,2000,3.10,11 minutes,"""Texas""","['Aaron Springer', 'Erik Wiese', 'Doug Lawrence']",Erik Wiese,Aaron Springer,Sean Dempsey,Derek Drymon,"""Fools in April""","""Texas""",Camryn Walling as Kid/Boy Fish,,,,,,
Fools in April,"['Gary the Snail', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Eugene H. Krabs', 'Incidentals', 'Fred', 'Incidental 3', 'John', 'Tom', 'Incidental 9', 'Incidental 14', 'Incidental 21', 'Carol', 'Incidental 23', 'Incidental 30', 'Incidental 31', 'Incidental 35', 'Harold', 'Scooter', 'Harold', 'Incidental 41', 'Incidental 42', 'Judy', 'Sadie', 'Incidental 48', 'Incidental 49', 'Incidental 60', 'Incidental 64', 'Billy', 'Incidental 66', 'Incidental 67', 'Incidental 70', 'Incidental 71', 'Incidental 91', 'Incidental 93', 'Bubble Bass', 'Sea urchins', 'Patrick Star', 'Mrs. Tentacles', 'Sandy Cheeks']",https://spongebob.fandom.com/wiki/Fools_in_April,2515-140,1,19a,"April 1, 2000",6:30 pm,2000,1.78,11 minutes,"""Neptune's Spatula""","['Aaron Springer', 'Erik Wiese', 'Merriwether Williams']",Erik Wiese,Aaron Springer,Fred Miller,Derek Drymon,"""Neptune's Spatula""","""Walking Small""",,,,,,,
Neptune's Spatula,"['SpongeBob SquarePants', 'Patrick Star', 'Larry the Lobster', 'King Neptune', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'Steven', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Priscilla', 'Incidental 13', 'Incidental 14', 'Incidental 16', 'Incidental 17', 'Incidental 21', 'Carol', 'Incidental 23', 'Incidental 25', 'Incidental 27', 'Incidental 28', 'Incidental 30', 'Incidental 31', 'Don the Whale', 'Incidental 33', 'Incidental 35', 'Harold', 'Tuck Tucker', 'Scooter', 'Scooter', 'Incidental 39', 'Harold', 'Fish at window', 'Incidental 41', 'Incidental 42', 'Judy', 'Incidental 46', 'Sadie', 'Incidental 48', 'Incidental 49', 'Incidental 60', 'Incidental 62', 'Incidental 63', 'Billy', 'Incidental 67', 'Incidental 68', 'Incidental 71', 'Incidental 82', 'Old Man Walker', 'Incidental 85', 'Mary', 'Incidental 92', 'Incidental 93', 'Incidental 96', 'Incidental 97', 'Incidental 98', 'Incidental 99', 'Incidental 100', 'Incidental 101', 'Incidental 102', 'Incidental 103', 'Incidental 104', 'Frank', 'Incidental 106', 'Steve', 'Dale', 'Incidental 109', 'Guy in shower', 'Eugene H. Krabs', 'Poseidome Colosseum', 'Gary the Snail']",https://spongebob.fandom.com/wiki/Neptune%27s_Spatula,2515-137,1,19b,"April 1, 2000",6:45 pm,2000,1.78,"11 minutes, 16 seconds","""Fools in April""","['Chuck Klein', 'Jay Lender', 'David Fain']",Jay Lender,Chuck Klein,Fred Miller,Derek Drymon,"""Hooky""","""Fools in April""",John O'Hurley as King Neptune,,,,,,
Hooky,"['French Narrator', 'Fishermen', 'John Lurie', 'Jim Jarmusch', 'Squidward Tentacles', 'SpongeBob SquarePants', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'John', 'Tom', 'Incidental 7', 'Incidental 9', 'Priscilla', 'Incidental 14', 'Incidental 30', 'Incidental 31', 'Harold', 'Scooter', 'Harold', 'Incidental 41', 'Sadie', 'Incidental 49', 'Incidental 68', 'New incidental', 'Eugene H. Krabs', 'Patrick Star', 'Fish Hooks Park', 'Gary the Snail', 'Sea urchins', 'Pearl Krabs', 'Mrs. Krabs']",https://spongebob.fandom.com/wiki/Hooky,2515-136,1,20a,"September 15, 2000",5:30 pm,2000,2.17,11 minutes,"""Mermaid Man and Barnacle Boy II""","['Sherm Cohen', 'Vincent Waller', 'Merriwether Williams']",Vincent Waller,Sherm Cohen,Edgar Larrazábal,Derek Drymon,"""Mermaid Man and Barnacle Boy II""","""Neptune's Spatula""",John Lurie and Jim Jarmusch as the Fishermen,,,,,,
Mermaid Man and Barnacle Boy II,"['French Narrator', 'SpongeBob SquarePants', 'Realistic Fish Head', 'Mermaid Man', 'Barnacle Boy', 'Jumbo Shrimp', 'Sinister Slug', 'Atomic Flounder', 'Gary the Snail', 'Sprat Morty', 'Incidentals', 'John', 'Incidental 27', 'Incidental 41', 'Incidental 42', 'Incidental 49', 'Incidental 85', 'Incidental 92', 'Incidental 93', 'Cafeteria lady 1', 'Dirty Bubble', 'King Neptune']",https://spongebob.fandom.com/wiki/Mermaid_Man_and_Barnacle_Boy_II,2515-131,1,20b,"September 15, 2000",8:15 pm,2000,2.54,11 minutes,"""Hooky""","['Chuck Klein', 'Jay Lender', 'Doug Lawrence']",Jay Lender,Chuck Klein,Tom Yasumi,Derek Drymon,"""Your Shoe's Untied""","""Hooky""","['Ernest Borgnine as Mermaid Man', 'Tim Conway as Barnacle Boy', 'Charles Nelson Reilly as Dirty Bubble']",,,,,,
Your Shoe's Untied,"['SpongeBob SquarePants', 'Dancing anemone', 'Gary the Snail', 'Human football players', 'Patrick Star', 'Incidentals', 'Incidental 60', 'Incidental 40', 'Incidental 68', 'Old Man Walker', 'Incidental 12', 'Incidental 67', 'Harold', 'Incidental 15', 'Incidental 33', 'Incidental 70', 'Tom', 'Incidental 35', 'Incidental 165', 'Incidental 16', 'John', 'Squidward Tentacles', 'Eugene H. Krabs', 'Jellyfish', 'Sea urchins', 'Sea creature', 'Painty the Pirate', 'Painted parrot', 'Flying Dutchman']",https://spongebob.fandom.com/wiki/Your_Shoe%27s_Untied,5571-142,2,21a,"February 17, 2001",8:00 pm,2000,2.75,11 minutes,"""Squid's Day Off""","['Walt Dohrn', 'Paul Tibbitt', 'Merriwether Williams']",,"['Chris Headrick', 'Erik Wiese']",Tom Yasumi,Derek Drymon,"""Squid's Day Off""","""Mermaid Man and Barnacle Boy II""","['Brian Doyle-Murray as Flying Dutchman', 'Ween as musical performer of Loop de Loop']",,,"['Walt Dohrn', 'Paul Tibbitt']",,,
Squid's Day Off,"['French Narrator', 'Jellyfish', 'Sea urchins', 'Squidward Tentacles', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Patrick Star', 'Fire fish', 'Incidentals', 'Incidental 25', 'Joe', 'Incidental 49', 'Incidental 144', 'Incidental 116', 'Alternate-Universe SpongeBob']",https://spongebob.fandom.com/wiki/Squid%27s_Day_Off,5571-145,2,21b,"February 17, 2001",8:15 pm,2000,2.75,11 minutes,"""Your Shoe's Untied""","['Walt Dohrn', 'Paul Tibbitt', 'Merriwether Williams']",,Jim Schumann,Andrew Overtoom,Derek Drymon,"""Something Smells""","""Your Shoe's Untied""",,,,"['Walt Dohrn', 'Paul Tibbitt']",,,
Something Smells,"['SpongeBob SquarePants', 'Gary the Snail', 'Shelley', 'Crossing guard', 'Marching band', 'Didgeridoo player', 'Patrick Star', 'Mirror SpongeBob', 'Postman inc', 'Agnes', 'Lady', 'Incidentals', 'Troutenheimer', 'Incidental 2', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 27', 'Incidental 30', 'Incidental 31', 'Harold', 'Scooter', 'Scooter', 'Incidental 41', 'Incidental 42', 'Incidental 48', 'Incidental 106', 'Steve', 'Dale', 'Incidental 109', 'Incidental 110', 'Lenny', 'Incidental 115', 'Incidental 118', 'Incidental 141', 'Incidental 142', 'Incidental 143', 'Incidental 144', 'Mr. Mailman', 'Man inc hat', 'Purple leech creature', 'Squidward Tentacles', 'The Ugly Barnacle']",https://spongebob.fandom.com/wiki/Something_Smells,5571-143,2,22a,"October 20, 2000",9:00 pm,2000,2.27,11 minutes,"""Bossy Boots""","['Aaron Springer', 'C.H. Greenblatt', 'Merriwether Williams']",C.H. Greenblatt,Aaron Springer,Edgar Larrazábal,Derek Drymon,"""Bossy Boots""","""Squid's Day Off""",,,,Aaron Springer,,,
Bossy Boots,"['Sea urchins', 'Eugene H. Krabs', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Pearl Krabs', 'Incidentals', 'Fred', 'Carol', 'Incidental 118', 'Harris', 'Incidental 37B', 'Incidental 11', 'Incidental 29', 'Incidental 150', 'Incidental 2', 'Incidental 104', 'Incidental 46', 'Incidental 35', 'Incidental 141', 'Incidental 7', 'Incidental 69', 'Incidental 27', 'Incidental 10', 'John', 'Octopus', 'Davy Jones', 'Sea unicorn', 'Gary the Snail']",https://spongebob.fandom.com/wiki/Bossy_Boots,5571-146,2,22b,"October 20, 2000",9:15 pm,2000,2.27,11 minutes,"""Something Smells""","['Walt Dohrn', 'Paul Tibbitt', 'Doug Lawrence']",,Chris Headrick,Tom Yasumi,Derek Drymon,"""Big Pink Loser""","""Something Smells""",The Capsules as musical performer of Bossy Boots,,,"['Walt Dohrn', 'Paul Tibbitt']",,,
Big Pink Loser,"['French Narrator', 'Sea urchins', 'Patrick Star', 'Jellyfish', 'SpongeBob SquarePants', 'Gary the Snail', 'Eugene H. Krabs', 'Squidward Tentacles', 'Incidentals', 'Incidental 154', 'Incidental 100', 'Incidental 42', 'Fred', 'Incidental 41', 'Incidental 119', 'Incidental 37B', 'Incidental 8', 'Tom', 'Incidental 60', 'Incidental 85', 'Incidental 82', 'Incidental 48', 'Incidental 47', 'Scallop']",https://spongebob.fandom.com/wiki/Big_Pink_Loser,5571-144,2,23a,"February 3, 2001",8:00 pm,2000,2.80,11 minutes,"""Bubble Buddy""","['Jay Lender', 'William Reiss', 'Merriwether Williams']",William Reiss,Jay Lender,Sean Dempsey,Derek Drymon,"""Bubble Buddy""","""Bossy Boots""",,,,,,,
Bubble Buddy,"['French Narrator', 'SpongeBob SquarePants', 'Patrick Star', 'Sandy Cheeks', 'Squidward Tentacles', 'Bubble Buddy', 'Bubble Buddy', 'Eugene H. Krabs', 'Criminal', 'Incidentals', 'Harold', 'Incidental 82', 'Harold', 'Incidental 41', 'Carol', 'Incidental 8', 'Incidental 16', 'Incidental 10', 'Incidental 31', 'Incidental 12', 'Incidental 13', 'Incidental 67', 'Scooter', 'Incidental 49', 'Don the Whale', 'Incidental 24', 'Gale', 'Incidental 45', 'Incidental 47', 'Incidental 21', 'Steven', 'Incidental 3', 'Incidental 2', 'Incidental 27', 'Incidental 39', 'Incidental 70', 'Incidental 60', 'Incidental 46', 'Incidental 9', 'Fred', 'Incidental 37B', 'Dodo', 'Incidental 7', 'Charlie', 'Incidental 14', 'Tom', 'Dale', 'Stretch', 'Incidental 107', 'John', 'Incidental 48', 'Frank', 'Larry the Lobster', 'Grubby Grouper', 'Pearl Krabs', 'Drink vendor', 'Seahorse']",https://spongebob.fandom.com/wiki/Bubble_Buddy,5571-148,2,23b,"February 3, 2001",8:15 pm,2000,2.80,11 minutes,"""Big Pink Loser""","['Jay Lender', 'William Reiss', 'Doug Lawrence']","['William Reiss', 'Chuck Klein']",Jay Lender,Sean Dempsey,Derek Drymon,"""Dying for Pie""","""Big Pink Loser""","['Corky Carroll as Grubby Grouper', 'Brad Abrell as Bubble Buddy']",,,,,,
Dying for Pie,"['Squidward Tentacles', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Incidentals', 'Pirates', 'Pirate 1', 'Pirate 2', 'Head pirate', 'Pirate 4', 'Incidental 37B', 'Tom', 'Incidental 8', 'Harold', 'Incidental 97', 'R. Tick Char', 'Lenny', 'Incidental 109', 'Dale', 'Incidental 103', 'Incidental 42', 'Sea urchins', 'Gary the Snail']",https://spongebob.fandom.com/wiki/Dying_for_Pie,5571-147,2,24a,"January 27, 2001",8:00 pm,2000,3.43,11 minutes,"""Imitation Krabs""","['Aaron Springer', 'C.H. Greenblatt', 'Merriwether Williams']","['C.H. Greenblatt', 'Erik Wiese']",Aaron Springer,Edgar Larrazábal,Derek Drymon,"""Imitation Krabs""","""Bubble Buddy""",,,,,,,
Imitation Krabs,"['French Narrator', 'Sea urchins', 'Incidentals', 'Incidental 47', 'Tom', 'Charlie', 'Incidental 7', 'Incidental 42', 'Incidental 37A', 'Incidental 40', 'Incidental 41', 'Incidental 31', 'Eugene H. Krabs', 'SpongeBob SquarePants', 'Sheldon J. Plankton', 'Robot game show host', 'Head-enhanced fish', 'Squidward Tentacles', 'Robot Krabs', 'Jellyfish', 'Karen Plankton', 'Hans']",https://spongebob.fandom.com/wiki/Imitation_Krabs,5571-150,2,24b,"January 27, 2001",8:15 pm,2000,3.43,11 minutes,"""Dying for Pie""","['Walt Dohrn', 'Paul Tibbitt', 'Doug Lawrence']",,"['Chris Headrick', 'Chuck Klein']",Tom Yasumi,Derek Drymon,"""Wormy""","""Dying for Pie""",,,,"['Walt Dohrn', 'Paul Tibbitt']",,,
Wormy,"['French Narrator', ""Sandy's pets"", 'Snakey', 'Birdy', 'Wormy', 'Patrick Star', 'SpongeBob SquarePants', 'Sandy Cheeks', 'Sea urchins', 'Squidward Tentacles', 'Eugene H. Krabs', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Incidental 11', 'Priscilla', 'Incidental 15', 'Incidental 16', 'Incidental 17', 'Incidental 18', 'Incidental 20', 'Incidental 21', 'Carol', 'Incidental 23', 'Incidental 25', 'Incidental 27', 'Incidental 30', 'Incidental 31', 'Don the Whale', 'Incidental 33', 'Incidental 34', 'Harold', 'Tuck Tucker', 'Scooter', 'Lou', 'Harold', 'Incidental 41', 'Incidental 42', 'Judy', 'Incidental 46', 'Sadie', 'Incidental 48', 'Incidental 49', 'Incidental 60', 'Incidental 64', 'Billy', 'Incidental 67', 'Incidental 68', 'Incidental 69', 'Harris', 'Incidental 82', 'Incidental 85', 'Incidental 91', 'Incidental 92', 'Incidental 93', 'Incidental 115', 'Incidental 150', 'Mr. Mailman', 'Incidental 157', 'Fish guy', 'Fire fish', 'Realistic Fish Head']",https://spongebob.fandom.com/wiki/Wormy,5571-149,2,25a,"February 24, 2001",8:00 pm,2000,2.69,11 minutes,"""Patty Hype""","['Walt Dohrn', 'Paul Tibbitt', 'Merriwether Williams']",,Jim Schumann,Andrew Overtoom,Derek Drymon,"""Patty Hype""","""Imitation Krabs""",,,,"['Walt Dohrn', 'Paul Tibbitt']",,,
Patty Hype,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Sea spiders', 'Eugene H. Krabs', 'Patrick Star', 'Incidentals', 'Fred', 'Troutenheimer', 'Incidental 2', 'Incidental 3', 'Steven', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Incidental 11', 'Incidental 12', 'Incidental 13', 'Incidental 14', 'Incidental 15', 'Incidental 16', 'Incidental 17', 'Incidental 18', 'Incidental 20', 'Incidental 21', 'Carol', 'Charlie', 'Incidental 24', 'Incidental 25', 'Joe', 'Incidental 27', 'Incidental 28', 'Incidental 29', 'Incidental 30', 'Incidental 31', 'Don the Whale', 'Incidental 33', 'Incidental 35', 'Harold', 'Incidental 37A', 'Incidental 37B', 'Scooter', 'Incidental 39', 'Harold', 'Incidental 41', 'Incidental 42', 'Incidental 45', 'Incidental 46', 'Incidental 47', 'Incidental 48', 'Incidental 49', 'Incidental 60', 'Incidental 62', 'Incidental 63', 'Incidental 64', 'Billy', 'Incidental 67', 'Incidental 68', 'Incidental 69', 'Incidental 70', 'Incidental 71', 'Harris', 'Incidental 81', 'Incidental 82', 'Old Man Walker', 'Mable', 'Incidental 85', 'Mary', 'Incidental 90', 'Incidental 92', 'Incidental 93', 'Incidental 98', 'Incidental 99', 'Incidental 103', 'Incidental 104', 'Incidental 105', 'Incidental 106', 'Incidental 107', 'Dale', 'Incidental 109', 'Incidental 111', 'Incidental 112', 'Lenny', 'Incidental 143', 'Incidental 144', 'Incidental 152', 'Sandals', 'Incidental 157', 'Band incidentals', 'Conductor 1', 'Drummer 2', 'Clarinet player 3', 'Tuba player 4', 'Sax player 5', 'Flute player 6', 'Trombone player 7', 'Trumpet player 8', 'Amoebas', 'King Neptune', 'Larry the Lobster', 'Realistic Fish Head']",https://spongebob.fandom.com/wiki/Patty_Hype,5571-152,2,25b,"February 24, 2001",8:15 pm,2000,2.69,11 minutes,"""Wormy""","['Jay Lender', 'Bill Reiss', 'Doug Lawrence']",Bill Reiss,Jay Lender,Sean Dempsey,Derek Drymon,"""Grandma's Kisses""","""Wormy""",,,,,,,
Grandma's Kisses,"['SpongeBob SquarePants', 'Sea leprechaun', 'Grandma SquarePants', 'Scallop', 'Squidward Tentacles', 'Incidentals', 'Charlie', 'Incidental 23A', 'Incidental 31', 'Incidental 63', 'Incidental 7', 'Incidental 40', 'Incidental 41', 'Incidental 42', 'Incidental 60', 'Gary the Snail', 'Patrick Star', 'Seahorse']",https://spongebob.fandom.com/wiki/Grandma%27s_Kisses,5571-154,2,26a,"April 28, 2001",8:00 pm,2000,2.09,11 minutes,"""Squidville""","['Walt Dohrn', 'Paul Tibbitt', 'Merriwether Williams']",,"['Jim Schumann', 'Octavio Rodriguez']",Andrew Overtoom,Derek Drymon,"""Squidville""","""Patty Hype""",Marion Ross as Grandma SquarePants,,,"['Walt Dohrn', 'Paul Tibbitt']",,,
Squidville,"['SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Sea urchins', 'Spokesman', 'Gary the Snail', 'Groundskeeper', 'Incidentals', 'Squid guard 1', 'Orville', '""Squid"" incidentals', 'Squid man 1', 'Squid man 2', 'Squid man 3', 'Squid woman 4', 'Squid woman 5', 'Squidette']",https://spongebob.fandom.com/wiki/Squidville,5571-156,2,26b,"April 28, 2001",8:15 pm,2000,2.09,11 minutes,"""Grandma's Kisses""","['Aaron Springer', 'C.H. Greenblatt', 'Merriwether Williams']",C.H. Greenblatt,Aaron Springer,Edgar Larrazábal,Derek Drymon,"""Prehibernation Week""","""Grandma's Kisses""",,,,,,,
Prehibernation Week,"['Sandy Cheeks', 'SpongeBob SquarePants', 'Winter inc', 'Camper', 'Female skier', 'Kid 1', 'Gary the Snail', 'Giant clams', 'Real-life drummer', 'Aaron Springer', 'Squidward Tentacles', 'Eugene H. Krabs', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'John', 'Tom', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Priscilla', 'Incidental 13', 'Incidental 14', 'Incidental 15', 'Incidental 16', 'Incidental 17', 'Incidental 18', 'Incidental 20', 'Incidental 21', 'Carol', 'Incidental 23', 'Incidental 24', 'Incidental 27', 'Incidental 28', 'Incidental 29', 'Incidental 30', 'Incidental 30A', 'Incidental 31', 'Incidental 34', 'Incidental 35', 'Harold', 'Tuck Tucker', 'Scooter', 'Scooter', 'Harold', 'Incidental 41', 'Incidental 42', 'Judy', 'Incidental 46', 'Incidental 48', 'Incidental 49', 'Incidental 60', 'Incidental 63', 'Incidental 64', 'Billy', 'Incidental 67', 'Incidental 68', 'Incidental 69', 'Harris', 'Incidental 82', 'Old Man Walker', 'Incidental 85', 'Incidental 90', 'Incidental 92', 'Incidental 93', 'Incidental 97', 'Incidental 104', 'Incidental 106', 'Steve', 'Dale', 'Incidental 110', 'Incidental 111', 'Incidental 142', 'Incidental 143', 'Incidental 144', 'Billy', 'Larry the Lobster', 'Patrick Star', 'Elephant fish', 'King Neptune']",https://spongebob.fandom.com/wiki/Prehibernation_Week,5571-151,2,27a,"May 5, 2001",8:00 pm,2000,2.13,11 minutes,"""Life of Crime""","['Aaron Springer', 'C.H. Greenblatt', 'Merriwether Williams']",C.H. Greenblatt,,Edgar Larrazábal,Derek Drymon,"""Life of Crime""","""Squidville""",Pantera as musical performer of Prehibernation,,,Aaron Springer,,,
Life of Crime,"['Realistic Fish Head', 'Victim Crab', 'Bad Crab', 'SpongeBob SquarePants', 'Patrick Star', 'Eugene H. Krabs', 'Sandy Cheeks', 'Sheldon J. Plankton', 'Mrs. Puff', 'Squidward Tentacles', 'Incidentals', 'Incidental 93', 'Incidental 21', 'Incidental 150', 'Incidental 69', 'Incidental 39', 'Incidental 103', 'Incidental 27', 'Incidental 30', 'Incidental 37A', 'Incidental 41', 'Incidental 8', 'Incidental 42', 'Tom', 'Incidental 7', 'Incidental 107', 'Incidental 46', 'Incidental 45', 'Incidental 106', 'Incidental 64', 'Incidental 47', 'Incidental 13', 'Incidental 105', 'Incidental 92', 'Incidental 49', 'Incidental 63', 'Incidental 20', 'Incidental 40', 'Incidental 14', 'Dale', 'Incidental 118s', 'Gary the Snail', 'Pearl Krabs', 'Muscle guy', 'Alan Smart', 'Tom Kenny']",https://spongebob.fandom.com/wiki/Life_of_Crime,5571-157,2,27b,"May 5, 2001",8:15 pm,2000,2.13,11 minutes,"""Prehibernation Week""","['Jay Lender', 'William Reiss', 'Doug Lawrence']",William Reiss,Jay Lender,Sean Dempsey,Derek Drymon,"""Christmas Who?""","""Prehibernation Week""",,,,,,,
